	read_name	read_seq	umi_seq	umi_start	umi_end	cigar	potential_concatamer
18ce1d0f-cd8d-4282-9a53-51929ced6519	4	*	*	0	16	*	False
93e42310-ebf4-4ce1-bf45-853bbabf2c34	4	*	*	0	16	*	False
7d98fc1c-a2fa-48c5-ac65-c02f3b65dcee	20	*	*	0	16	*	False
fe6c6ecb-f770-44ce-a7ea-2bc491f12c21	4	*	*	0	16	*	False
daeba03d-b4eb-43b8-9b8d-d06e79cecd3f	20	*	*	0	16	*	False
465eafaa-a98a-4ab7-9982-d8deebc65672	4	*	*	0	16	*	False
ffd7277f-6cd2-4e69-81f3-d3bf591f1958	20	*	*	0	16	*	False
b6999ff3-6ceb-4e9f-b95a-cfd094f1b5d8	20	*	*	0	16	*	False
0b5dd6a2-f70a-4ef9-9e86-cf182c73c293	4	*	*	0	16	*	False
47fcaa42-573d-4f82-9ab7-6f86e3ffa4f6	4	*	*	0	16	*	False
81d0ae99-efa7-4cd6-91b4-ae20cbc3fba0	20	*	*	0	16	*	False
be1e5d99-7551-413d-a0bd-6153cfc2ff4f	20	*	*	0	16	*	False
127f8b0f-68a0-46e6-8b31-527189d96ff5	4	*	*	0	16	*	False
dfc4823a-5fa8-4597-aecf-5b047fb6c337	20	*	*	0	16	*	False
1fce7908-1a85-4d8f-826e-cd5a918d8e20	4	*	*	0	16	*	False
84489f2b-72c8-46b4-943f-050c06534237	4	*	*	0	16	*	False
d2265293-761d-4e92-a188-bc55c48abab1	4	*	*	0	16	*	False
c1099729-f67c-4c19-86e0-b01d3700a93c	20	*	*	0	16	*	False
cac7bde7-9bd9-4c24-8edd-36ac8c3b1953	4	*	*	0	16	*	False
721f1957-0dda-4b71-a0f5-d0cacfc503e1	4	*	*	0	16	*	False
ad17458c-fae3-4bd9-88c4-0bea1d5acd08	4	*	*	0	16	*	False
f21db3b1-3807-4863-bbd9-b2d7bd6ddd8c	4	*	*	0	16	*	False
3bb628e8-4517-41fc-af2d-6ca2a9b33796	20	*	*	0	16	*	False
8856e644-c2ce-45e0-8f70-0b106c1cc044	4	*	*	0	16	*	False
06a37b4e-13dc-41ee-8e18-e61eb9394879	4	*	*	0	16	*	False
97474076-8101-4fb2-9053-58957603785a	4	*	*	0	16	*	False
b0c67f8a-4e6f-4486-93ed-85022b72ad73	4	*	*	0	16	*	False
eb93953f-c061-4468-b293-98d6feb80a15	20	*	*	0	16	*	False
ac6b6544-e2ba-4184-9f45-bb3574c26655	20	*	*	0	16	*	False
f302aa4f-b995-46ef-8df4-abca818f96e7	20	*	*	0	16	*	False
308e7e22-7328-472d-817a-527f93604944	20	*	*	0	16	*	False
d27f14cf-4c16-4006-961f-0c33cf15acf7	20	*	*	0	16	*	False
653dbd85-a719-4293-bb58-60558266e519	4	*	*	0	16	*	False
efe1c8b7-d46b-4b1f-a471-57591b7f0d6d	20	*	*	0	16	*	False
27335078-b2f5-5425-8270-9f836676a1b9	4	*	*	0	16	*	False
75897d34-fa69-5887-8085-3d4b05adafc9	20	*	*	0	16	*	False
fbddadf4-b86a-424e-8c0e-7f8de9a2a43a	20	*	*	0	16	*	False
ede19384-458e-4561-bd36-5ec44eac16a1	4	*	*	0	16	*	False
31ae002c-6896-462b-8589-b49a9ada7d8e	20	*	*	0	16	*	False
dd068e0b-cc18-493b-ac78-bc6d8cf16428	4	*	*	0	16	*	False
0e9d367a-1423-4ad5-b131-fdbf96eb93f9	20	*	*	0	16	*	False
92aba320-3703-43a4-bc03-877bdc539271	20	*	*	0	16	*	False
7cacc9c7-fa2a-4f80-8459-9d89113c0811	4	*	*	0	16	*	False
dddfd777-b397-4c4f-b2ed-99bad3fa37ec	20	*	*	0	16	*	False
2f9fd58c-52ae-440a-bf13-8fbd6a74db88	4	*	*	0	16	*	False
7bed874a-25e2-48ff-94e2-983506637956	4	*	*	0	16	*	False
fd8c81cb-e631-4323-ab94-0442eaabfea2	4	*	*	0	16	*	False
12467060-60ea-4513-999f-dd44d273af6e	20	*	*	0	16	*	False
3cd86f92-820e-4b7e-95e9-6588a2145a10	4	*	*	0	16	*	False
d4d88440-0b13-45cd-b862-a0bb91c217a6	4	*	*	0	16	*	False
0f678d21-25f0-4808-a20b-841282519237	4	*	*	0	16	*	False
e7a7da04-35e4-46ae-a0f3-6434ed10ada2	4	*	*	0	16	*	False
f855b660-9ba9-4027-bc3c-fbc213600552	20	*	*	0	16	*	False
adca33c1-453a-43c3-b96a-3580e649a283	4	*	*	0	16	*	False
0eb86408-be24-4578-98c3-10d1505803b8	20	*	*	0	16	*	False
380df055-cb2d-4b93-8171-89cec751a8ee	4	*	*	0	16	*	False
fb24ca9c-ac5b-4edf-96f6-afed31e4d3e2	20	*	*	0	16	*	False
7c99645c-c033-410e-8333-008a39f86730	4	*	*	0	16	*	False
93d7c265-d949-4ae4-8f63-90847ea3fd57	4	*	*	0	16	*	False
83a7ce1c-1bce-4c9f-8939-ea598a6adb86	4	*	*	0	16	*	False
3b7251e8-eed3-468a-acd2-5dfe2a04c463	20	*	*	0	16	*	False
afed4191-82a8-46c3-bdd7-b80131684e68	4	*	*	0	16	*	False
6f94841c-60a3-40fe-810f-2c9ba64ee73f	20	*	*	0	16	*	False
008e3734-79cc-4fb9-a4f3-e68056b5a4b9	4	*	*	0	16	*	False
6050f5d4-d09e-43fc-a0d8-782753032fcc	20	*	*	0	16	*	False
e329e172-84fe-4504-a842-045a72da014b	4	*	*	0	16	*	False
969e24a2-3fe6-41df-9337-4a5dbde1e165	20	*	*	0	16	*	False
670d6e1a-b8a7-4384-98d5-91c918483965	4	*	*	0	16	*	False
a539e1bd-3fbc-482b-a5e4-259aa7fb898b	4	*	*	0	16	*	False
54ae4011-5d7a-40cd-94a8-27d79e85fe30	4	*	*	0	16	*	False
e6198178-bcc1-451a-bd1b-ba7230b558f4	20	*	*	0	16	*	False
22107471-a45b-4104-beb4-306e35ab99ae	20	*	*	0	16	*	False
bd52c5cd-5e00-4258-a5dc-2fd7a1ebd295	4	*	*	0	16	*	False
bd5ccdc5-8046-4067-9170-1c2d196245f2	4	*	*	0	16	*	False
0ed6ee3a-eb93-467d-b84a-98d83cc71aa8	20	*	*	0	16	*	False
0f69ceb6-3a33-49ab-b98a-9261fce790db	4	*	*	0	16	*	False
bfebf0ff-cbbb-4819-833e-0032d1cb9199	4	*	*	0	16	*	False
84ce7d30-5086-4dc7-806c-e64494b43972	4	*	*	0	16	*	False
fc8caa6d-9c7a-4ada-9d62-9fccdd112a8e	20	*	*	0	16	*	False
cbcdf74e-dd44-4d5b-b155-74d261f8b87e	4	*	*	0	16	*	False
cb59f3ce-f423-4290-95e8-e8d3bf43af51	20	*	*	0	16	*	False
abc92a1f-c4b3-4996-9fb9-69d42793e628	4	*	*	0	16	*	False
36dd8692-5df5-4836-b58d-8c9fe204f70c	20	*	*	0	16	*	False
